File,Lines Covered,Lines Total,Lines %,Functions Covered,Functions Total,Functions %,Branches Covered,Branches Total,Branches %
app/node_modules/@apollo/src/utilities/common/canonicalStringify.ts,28,28,100.00,5,6,83.33,19,20,95.00
app/node_modules/@apollo/src/utilities/common/cloneDeep.ts,13,20,65.00,3,4,75.00,5,11,45.45
app/node_modules/@apollo/src/utilities/common/compact.ts,10,10,100.00,3,3,100.00,4,4,100.00
app/node_modules/@apollo/src/utilities/common/errorHandling.ts,7,10,70.00,2,3,66.67,3,6,50.00
app/node_modules/@apollo/src/utilities/common/incrementalResult.ts,6,21,28.57,3,6,50.00,1,8,12.50
app/node_modules/@apollo/src/utilities/common/makeUniqueId.ts,5,5,100.00,1,1,100.00,2,2,100.00
app/node_modules/@apollo/src/utilities/common/maybeDeepFreeze.ts,16,18,88.89,5,5,100.00,11,14,78.57
app/node_modules/@apollo/src/utilities/common/mergeDeep.ts,35,40,87.50,6,8,75.00,20,22,90.91
app/node_modules/@apollo/src/utilities/common/mergeOptions.ts,2,2,100.00,1,1,100.00,2,2,100.00
app/node_modules/@apollo/src/utilities/common/objects.ts,2,3,66.67,1,2,50.00,2,2,100.00
app/node_modules/@apollo/src/utilities/common/stringifyForDisplay.ts,4,4,100.00,2,2,100.00,2,4,50.00
app/node_modules/@apollo/src/utilities/globals/global.ts,1,5,20.00,0,4,0.00,1,5,20.00
app/node_modules/@apollo/src/utilities/globals/index.ts,1,1,100.00,0,0,,0,0,
app/node_modules/@apollo/src/utilities/globals/invariantWrappers.ts,21,23,91.30,6,7,85.71,7,14,50.00
app/node_modules/@apollo/src/utilities/globals/maybe.ts,3,3,100.00,1,1,100.00,0,0,
app/node_modules/@apollo/src/utilities/graphql/DocumentTransform.ts,29,39,74.36,7,13,53.85,9,16,56.25
app/node_modules/@apollo/src/utilities/graphql/directives.ts,13,42,30.95,3,12,25.00,7,27,25.93
app/node_modules/@apollo/src/utilities/graphql/fragments.ts,5,22,22.73,1,5,20.00,1,15,6.67
app/node_modules/@apollo/src/utilities/graphql/getFromAST.ts,36,43,83.72,14,15,93.33,14,24,58.33
app/node_modules/@apollo/src/utilities/graphql/print.ts,11,11,100.00,2,3,66.67,5,8,62.50
app/node_modules/@apollo/src/utilities/graphql/storeUtils.ts,49,102,48.04,15,29,51.72,24,62,38.71
app/node_modules/@apollo/src/utilities/graphql/transform.ts,59,177,33.33,14,60,23.33,25,121,20.66
app/node_modules/@apollo/src/utilities/observables/Concast.ts,60,81,74.07,17,23,73.91,29,49,59.18
app/node_modules/@apollo/src/utilities/observables/asyncMap.ts,16,17,94.12,12,12,100.00,2,4,50.00
app/node_modules/@apollo/src/utilities/observables/iteration.ts,4,4,100.00,3,3,100.00,2,2,100.00
app/node_modules/@apollo/src/utilities/observables/subclassing.ts,7,7,100.00,2,2,100.00,3,4,75.00
app/node_modules/@apollo/src/version.ts,1,1,100.00,0,0,,0,0,
app/node_modules/@chakra-ui/alert/src/alert-context.ts,3,7,42.86,0,2,0.00,0,0,
app/node_modules/@chakra-ui/alert/src/alert-description.tsx,2,6,33.33,0,1,0.00,0,0,
